timestamp,soc_pct,battery_w,grid_w,pv_w,load_w
2026-05-06T11:32:22.071Z,70.8,792,15,0,807
2026-05-06T11:32:36.598Z,70.8,782,15,0,797
2026-05-06T11:32:56.756Z,70.8,792,0,0,792
2026-05-06T11:33:49.573Z,70.8,693,77,0,770
2026-05-06T11:34:35.101Z,70.8,801,25,0,826
2026-05-06T11:34:59.474Z,70.8,821,9,0,830
2026-05-06T11:37:22.849Z,70.8,811,8,0,819
2026-05-06T11:37:37.317Z,70.4,811,0,0,811
2026-05-06T11:37:57.511Z,70.4,816,17,0,833
2026-05-06T11:38:50.523Z,70.4,811,0,0,811
2026-05-06T11:39:35.854Z,70.4,816,-27,0,789
2026-05-06T11:40:00.202Z,70.4,801,8,0,809
2026-05-06T11:42:22.839Z,70.4,825,0,0,825
2026-05-06T11:42:37.409Z,70.4,825,-21,0,804
2026-05-06T11:42:57.726Z,70.4,820,-16,0,804
2026-05-06T11:43:50.207Z,70,825,-28,0,797
2026-05-06T11:45:00.258Z,70,805,-9,0,796
2026-05-06T11:47:22.865Z,70,800,17,0,817
2026-05-06T11:47:37.670Z,70,800,-8,0,792
2026-05-06T11:47:57.619Z,70,820,-8,0,812
2026-05-06T11:48:50.448Z,70,815,-8,0,807
2026-05-06T11:50:00.289Z,70,14,630,0,644
2026-05-06T11:52:37.486Z,69.6,14,845,0,859
2026-05-06T11:52:58.072Z,69.6,14,857,0,871
2026-05-06T11:55:00.549Z,69.6,942,0,0,942
2026-05-06T12:00:00.462Z,69.2,976,-16,0,960
2026-05-06T12:05:00.487Z,69.2,966,0,0,966
2026-05-06T12:10:01.198Z,69.2,966,0,0,966
2026-05-06T12:15:00.972Z,69.2,966,0,0,966
2026-05-06T12:20:00.921Z,69.2,966,0,0,966
2026-05-06T12:25:01.082Z,69.2,966,0,0,966
